x,y
231,3.851852
232,4.666667
233,21.083333
234,37.592593
235,13.500000
236,26.448980
237,8.939394
238,24.518152
239,7.044776
240,11.635417
241,5.398496
242,3.629630
243,2.845324
244,3.895683
245,2.065306
246,1.841208
247,1.204276
248,1.376434
249,0.946334
250,0.779526
251,0.496434
252,0.410935
253,3.746032
254,5.000000
255,29.791667
256,39.222222
257,33.065217
258,27.080000
259,19.936937
260,22.951724
261,16.313343
262,12.387097
263,8.237027
264,8.141791
265,4.372152
266,4.568616
267,2.936589
268,2.123270
269,1.596855
270,1.485891
271,0.967985
272,0.947200
273,0.535675
274,0.450763
275,0.316909
276,3.785714
277,5.333333
278,27.176471
279,16.642857
280,7.500000
281,40.100000
282,3.611111
283,24.610738
284,3.434783
285,4.642857
286,5.586207
287,2.867077
288,3.828571
289,1.789399
290,2.323587
291,2.150000
292,2.561644
293,1.683199
294,1.227488
295,1.120592
296,0.789123
297,0.571146
298,0.425008
299,0.325225
300,3.810127
301,5.666667
302,38.057143
303,52.977778
304,46.290698
305,6.000000
306,22.777778
307,26.513514
308,20.270386
309,15.942584
310,3.458333
311,10.591912
312,5.570335
313,5.965616
314,3.889742
315,2.070866
316,2.074264
317,2.220468
318,1.177525
319,1.132998
320,0.862595
321,0.590333
322,0.444554
323,0.065400
324,0.232813
325,4.022727
326,7.000000
327,35.041667
328,56.577778
329,23.433333
330,45.444444
331,15.209677
332,29.526316
333,13.479167
334,20.875000
335,6.765823
336,12.252721
337,4.058632
338,3.883721
339,2.981132
340,3.243180
341,1.633401
342,2.615517
343,1.430809
344,1.257023
345,0.900910
346,0.674017
347,0.131674
348,0.430641
349,0.312851
350,0.215363
351,3.641509
352,5.250000
353,43.293103
354,26.761905
355,46.851064
356,45.234694
357,9.268293
358,28.158537
359,19.121662
360,3.794118
361,12.213415
362,12.580825
363,4.232416
364,7.142559
365,4.464681
366,2.077889
367,2.491236
368,2.307804
369,2.765766
370,1.251837
371,0.778044
372,0.608661
373,0.526675
374,0.145611
375,0.340405
376,0.186732
377,0.183238
378,3.850877
379,5.750000
380,41.702703
381,72.037500
382,13.136364
383,47.515789
384,16.484848
385,4.642857
386,5.000000
387,20.934537
388,11.232955
389,14.145434
390,3.435065
391,10.265310
392,3.703704
393,4.014176
394,2.019048
395,2.695336
396,1.727273
397,1.496781
398,1.089286
399,1.186869
400,0.694118
401,0.648758
402,0.511336
403,0.356389
404,0.250091
405,0.082130
406,3.942623
407,6.000000
408,55.511905
409,76.153846
410,69.945783
411,73.045977
412,34.943609
413,54.637997
414,22.079412
415,26.606877
416,14.792476
417,15.513873
418,8.218522
419,11.764479
420,6.137199
421,4.621610
422,4.180453
423,3.080483
424,1.876453
425,1.693025
426,1.244717
427,0.864622
428,0.811968
429,0.697132
430,0.418246
431,0.193519
432,0.236534
433,0.064397
434,0.152614
435,3.949640
436,6.500000
437,49.839286
438,41.387097
439,36.773585
440,10.576923
441,5.033333
442,46.720339
443,15.265823
444,10.508929
445,3.651163
446,17.556049
447,2.790698
448,13.096366
449,6.766625
450,3.718750
451,3.913139
452,4.569133
453,1.698039
454,1.918608
455,2.496599
456,0.845483
457,0.865671
458,0.824655
459,0.580252
460,0.579946
461,0.287062
462,0.207671
463,0.200575
464,0.165704
465,3.835526
433.000000 0.064397
